accession,domain,phylum,class,order,family,genus,species,Amino acid utilization,Aromatics degradation,Arsenic cycling,C1 metabolism,Carbon fixation,Chlorite reduction,Complex carbon degradation,Ethanol fermentation,Fatty acid degradation,Fermentation,Halogenated compound utilization,Hydrogenases,Nitrile hydration,Nitrogen cycling,Oxidative phosphorylation,Perchlorate reduction,Selenate reduction,Sulfur cycling,Thermophilic specific
GCA_001509375.1,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanothrix_A,Methanothrix_A harundinacea_D,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GCA_001516045.1,Bacteria,Bacillota_B,Desulfitobacteriia,Desulfitobacteriales,Desulfitobacteriaceae,Desulfosporosinus,Desulfosporosinus sp001516045,0,0,1,0,0,0,0,0,0,2,0,5,0,2,1,0,1,4,0
GCA_001516055.1,Bacteria,Bacillota_B,Desulfitobacteriia,Desulfitobacteriales,Syntrophobotulaceae,Gracilibacter,Gracilibacter sp001516055,0,0,2,0,0,0,0,0,0,2,0,4,0,0,0,0,0,3,0
GCA_001548395.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Elainellales,Elainellaceae,O-77,O-77 sp001548395,0,0,0,0,1,0,0,0,0,2,0,0,0,1,2,0,0,2,0
GCA_001602645.1,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanothrix_A,Methanothrix_A sp001602645,0,0,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
GCA_001602925.1,Bacteria,Bacteroidota,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum,Chlorobaculum sp001602925,0,0,0,0,1,0,0,0,0,2,0,1,0,1,2,0,0,5,0
GCA_001603035.1,Bacteria,Bacillota_A,Clostridia,Saccharofermentanales,Saccharofermentanaceae,Firm-13,Firm-13 sp001603035,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
GCA_001603055.1,Bacteria,Verrucomicrobiota,Lentisphaeria,UBA1407,Lenti-02,Lenti-02,Lenti-02 sp001603055,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0
GCA_001603335.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Alpha-05,Alpha-05 sp001603335,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0
GCA_001603805.1,Bacteria,Deferribacterota,Deferribacteres,Deferribacterales,Denitrovibrionaceae,Geovibrio,Geovibrio sp001603805,0,0,1,0,0,0,0,0,0,1,0,1,0,2,3,0,0,1,0
GCA_001603845.1,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1,SbD1 sp001603845,0,0,0,0,0,0,0,0,0,2,0,4,0,0,1,0,0,3,0
GCA_001604585.1,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Verruco-01,Verruco-01,Verruco-01 sp001604585,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
GCA_001622165.1,Bacteria,Bacteroidota,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium luteolum_B,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,3,0
GCA_001644045.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomonas,Methylomonas methanica,0,0,0,3,0,0,0,0,0,2,0,2,0,5,2,1,0,2,0
GCA_001650175.1,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Ereboglobus,Ereboglobus sp001650175,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0
GCA_001657325.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Geitlerinemaceae,Geitlerinema,Geitlerinema sp001657325,0,0,0,1,1,0,0,0,0,2,0,1,0,1,2,0,0,3,0
GCA_001698425.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Microcoleaceae,Kamptonema,Kamptonema sp001698425,0,0,0,1,1,0,0,0,0,2,0,1,0,1,2,0,0,1,0
GCA_001714685.2,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp001714685,0,0,0,3,0,0,0,0,0,1,0,2,0,1,1,0,0,1,0
GCA_001768075.1,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,R267,R267 sp001768075,0,0,0,1,1,0,0,0,0,2,0,2,0,5,3,0,0,4,0
GCA_001770725.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_B,Aquabacterium,Aquabacterium sp001770725,0,0,0,2,0,0,0,0,0,2,0,0,0,2,3,0,0,1,0
GCA_001783715.1,Bacteria,SAR324,SAR324,XYD2-FULL-50-16,XYD2-FULL-50-16,XYC1-FULL-56-13,XYC1-FULL-56-13 sp001783715,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,2,0
GCA_001799255.1,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,UBA2262,UBA2262 sp001799255,0,0,2,0,0,0,0,0,0,2,0,0,0,3,1,0,0,2,0
GCA_001799365.1,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,Desulforhopalus,Desulforhopalus sp001799365,0,0,0,0,0,0,0,0,0,2,0,3,0,3,3,0,0,4,0
GCA_001799485.1,Bacteria,Desulfobacterota_F,Desulfuromonadia,Desulfuromonadales,UBA2197,UBA12091,UBA12091 sp001799485,0,0,2,0,0,0,0,0,0,1,0,1,0,1,1,0,0,2,0
GCA_001800355.1,Bacteria,Elusimicrobiota,Endomicrobia,Endomicrobiales,XYA2-FULL-47-53,XYB2-FULL-50-12,XYB2-FULL-50-12 sp001800355,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
GCA_001800515.1,Bacteria,Fibrobacterota,OXYB2-FULL-49-7,OXYB2-FULL-49-7,OXYB2-FULL-49-7,OXYB2-FULL-49-7,OXYB2-FULL-49-7 sp001800515,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
GCA_001801105.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Gallionellaceae,Gallionella,Gallionella sp001801105,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,3,0
GCA_001801995.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,YD12-FULL-61-37,YD12-FULL-61-37 sp001801995,0,0,2,1,1,0,0,0,0,2,0,2,0,5,2,0,0,4,0
GCA_001802125.1,Bacteria,Desulfobacterota_F,Desulfuromonadia,Geobacterales,Pseudopelobacteraceae,JACRCG01,JACRCG01 sp001802125,0,0,2,0,0,0,0,0,0,1,0,2,0,2,1,0,0,2,0
GCA_001802645.1,Bacteria,Desulfobacterota_F,Desulfuromonadia,Geobacterales,Pseudopelobacteraceae,JACRCG01,JACRCG01 sp001802645,0,0,2,0,0,0,0,0,0,1,0,3,0,2,2,0,0,2,0
GCA_001802655.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Thiobacillaceae,Thiobacillus,Thiobacillus sp001802655,0,0,0,1,1,0,0,0,0,2,0,1,0,3,3,0,0,5,0
GCA_001804815.1,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,GWF2-50-93,GWF2-50-93,GWF2-50-93 sp001804815,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0
GCA_001805085.1,Bacteria,Nitrospirota,UBA9217,UBA9217,UBA9217,MHEA01,MHEA01 sp001805085,0,0,0,0,0,0,0,0,0,1,0,1,0,3,3,0,0,2,0
GCA_001805105.1,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,UBA1546 sp001805105,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0
GCA_001828935.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,Sulfuritalea sp001828935,0,0,1,1,1,0,0,0,0,2,0,3,0,4,2,1,0,3,0
GCA_001829125.1,Bacteria,Spirochaetota,GWE2-31-10,GWE2-31-10,GWE2-31-10,GWC1-27-15,GWC1-27-15 sp001829125,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0
GCA_001829155.1,Bacteria,Spirochaetota,GWB1-36-13,GWB1-36-13,GWB1-36-13,GWB1-36-13,GWB1-36-13 sp001829155,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1
GCA_001829315.1,Bacteria,Spirochaetota,GWE2-31-10,GWE2-31-10,GWE2-31-10,GWE2-31-10,GWE2-31-10 sp001829315,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
GCA_001829785.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,Sulfurimonas sp001829785,0,0,0,0,1,0,0,0,0,2,0,2,0,4,1,0,0,2,0
GCA_001871085.1,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Humidesulfovibrio,Humidesulfovibrio sp001871085,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,4,0
GCA_001872725.1,Bacteria,Pseudomonadota,Zetaproteobacteria,CG1-02-64-396,CG1-02-64-396,CG1-02-64-396,CG1-02-64-396 sp001872725,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0
GCA_001890975.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Desertifilaceae,Roseofilum,Roseofilum reptotaenium_A,0,0,0,1,1,0,0,0,0,2,0,1,1,1,2,0,0,3,0
GCA_001914235.1,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,DB1,DB1 sp001914235,0,0,1,0,0,0,0,0,0,2,0,2,0,2,1,0,0,4,0
GCA_002009425.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,41T-STBD-0c-01a,41T-STBD-0c-01a sp002009425,0,0,0,3,1,0,0,0,0,2,0,2,0,4,3,0,0,6,0
GCA_002049495.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,TCS-49,TCS-49 sp002049495,0,0,0,1,1,0,0,0,0,2,0,2,0,1,2,1,0,2,0
GCA_002067065.1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp002067065,0,0,0,2,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0
GCA_002067275.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,Methanomethylovorans sp002067275,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
GCA_002067325.1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_A,Methanobacterium_A sp002067325,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
GCA_002067365.1,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanothrix,Methanothrix sp002067365,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
GCA_002067405.1,Bacteria,Desulfobacterota_G,Syntrophorhabdia,Syntrophorhabdales,WCHB1-27,BOG-1155,BOG-1155 sp002067405,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,0,1,0
GCA_002067705.1,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanothrix,Methanothrix sp002067705,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
GCA_002067755.1,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanothrix,Methanothrix sp002067755,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GCA_002069975.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA1715,WQTX01,WQTX01 sp002069975,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0
GCA_002083615.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomonas,Methylomonas sp002083615,0,0,0,3,0,0,0,0,0,2,0,1,0,2,2,0,0,2,0
GCA_002110465.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Microcystaceae_A,Rippkaea,Rippkaea sp002110465,0,0,0,1,1,0,0,0,0,2,0,2,0,0,2,0,0,2,0
GCA_002237645.1,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio sp002237645,0,0,0,0,0,0,0,0,0,2,0,2,0,2,1,0,0,3,0
GCA_002270295.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella sp002270295,0,0,0,1,0,0,0,0,0,2,0,1,1,3,2,1,1,0,0
GCA_002281555.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Thiobacillaceae,PFJX01,PFJX01 sp002281555,0,0,0,0,2,0,0,0,0,2,0,3,0,4,1,0,0,4,0
GCA_002294045.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna sp002294045,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0
GCA_002298145.1,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,UBA695,UBA695 sp002298145,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
GCA_002298165.1,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1,SbD1 sp002298165,0,0,1,0,0,0,0,0,0,2,0,2,0,2,2,0,0,2,0
GCA_002298335.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,DSM-6294,Oleibacter,Oleibacter sp002298335,0,0,0,1,0,0,0,0,0,2,0,2,0,2,3,0,0,2,0
GCA_002298925.1,Bacteria,Desulfobacterota_F,Desulfuromonadia,Geobacterales,Pseudopelobacteraceae,Pelotalea,Pelotalea sp002298925,0,0,1,1,0,0,0,0,0,1,0,2,0,3,3,1,0,1,0
GCA_002304785.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Propionivibrio,Propionivibrio sp002304785,0,0,2,0,0,0,0,0,0,2,0,1,0,5,3,0,0,1,0
GCA_002306005.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA1366,UBA1366 sp002306005,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0
GCA_002306945.1,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Methylacidiphilales,UBA1321,UBA1321,UBA1321 sp002306945,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0
GCA_002306975.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ethanoligenenaceae,Ruminiclostridium_D,Ruminiclostridium_D sp002306975,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,1,0
GCA_002307055.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Sporobacter,Sporobacter sp002307055,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
GCA_002307185.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,UBA1309,UBA1309 sp002307185,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
GCA_002307215.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Mobilitalea,Mobilitalea sp002307215,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
GCA_002307725.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,Rhizomicrobium sp002307725,0,0,0,0,0,0,0,0,0,2,0,1,0,1,3,0,0,1,0
GCA_002314145.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,DSM-6294,Venatoribacter,Venatoribacter sp002314145,0,0,0,1,0,0,0,0,0,2,0,1,0,2,3,0,0,2,0
GCA_002314445.1,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D,Treponema_D sp002314445,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
GCA_002325605.1,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Chloroflexaceae,UBA1466,UBA1466 sp002325605,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0
GCA_002328495.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,Sulfurospirillum sp002328495,0,0,1,0,0,0,0,0,0,2,0,2,0,2,2,1,0,2,0
GCA_002337055.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,UBA1934,UBA1934 sp002337055,0,0,2,0,0,0,0,0,0,2,0,2,0,2,2,0,0,1,0
GCA_002340095.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Azovibrio,Azovibrio sp002340095,0,0,0,0,0,0,0,0,0,2,0,3,0,1,2,0,0,1,0
GCA_002340255.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Desertifilaceae,Roseofilum,Roseofilum sp002340255,0,0,0,1,1,0,0,0,0,2,0,0,1,1,2,0,0,3,0
GCA_002341805.1,Bacteria,Aquificota,Aquificae,Aquificales,Hydrogenobaculaceae,Hydrogenobaculum,Hydrogenobaculum sp002341805,0,0,0,0,0,0,0,0,0,1,0,1,0,4,2,0,0,2,0
GCA_002342805.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Vallitaleaceae,UBA1351,UBA1351 sp002342805,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
GCA_002343685.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Thiobacillaceae,Thiobacillus,Thiobacillus denitrificans_A,0,0,0,1,2,0,0,0,0,2,0,1,0,5,2,0,0,5,0
GCA_002345025.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Accumulibacter,Accumulibacter iunctus,0,0,0,1,1,0,0,0,0,2,0,2,0,5,1,0,0,2,0
GCA_002347405.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,UBA2250,UBA2250 sp002347405,0,0,2,0,2,0,0,0,0,2,0,1,0,4,1,1,0,4,0
GCA_002356515.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Mesorhizobium loti_C,0,0,0,2,0,0,0,0,0,2,0,0,1,3,4,0,0,1,0
GCA_002382085.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,Sulfurospirillum sp002382085,0,0,1,0,0,0,0,0,0,2,0,2,0,3,1,1,0,2,0
